cid,fid,pid,x1,y1,w,h
2,129,77,108,1,24,"67
"
2,130,77,110,2,24,"68
"
2,131,77,110,2,22,"70
"
2,132,77,110,4,24,"70
"
2,133,77,111,5,24,"68
"
2,134,77,112,5,24,"71
"
2,135,77,111,6,26,"66
"
2,136,77,112,5,27,"69
"
2,137,77,112,7,28,"67
"
2,138,77,113,7,28,"69
"
2,139,77,113,9,26,"72
"
2,140,77,114,9,26,"71
"
2,141,77,114,11,24,"69
"
2,142,77,114,13,27,"71
"
2,143,77,114,15,28,"72
"
2,144,77,114,16,29,"70
"
2,145,77,115,16,26,"71
"
2,146,77,116,16,28,"72
"
2,147,77,114,17,29,"68
"
2,148,77,117,18,27,"69
"
2,149,77,116,19,30,"69
"
2,150,77,116,20,28,"72
"
2,151,77,116,20,28,"70
"
2,152,77,117,24,27,"69
"
2,153,77,118,25,28,"70
"
2,154,77,119,26,25,"70
"
2,155,77,121,28,24,"70
"
2,156,77,120,26,27,"73
"
2,157,77,122,28,26,"72
"
2,158,77,122,29,25,"69
"
2,159,77,122,30,25,"69
"
2,160,77,121,31,27,"70
"
2,161,77,120,30,32,"69
"
2,162,77,123,32,31,"73
"
2,163,77,123,35,31,"71
"
2,164,77,123,35,31,"71
"
2,165,77,125,37,26,"72
"
2,166,77,124,37,30,"75
"
2,167,77,124,39,27,"70
"
2,168,77,125,41,27,"72
"
2,169,77,124,40,30,"73
"
2,170,77,125,41,28,"70
"
2,171,77,125,42,28,"71
"
2,172,77,125,45,29,"68
"
2,173,77,128,46,27,"71
"
2,174,77,126,47,31,"73
"
2,175,77,129,49,27,"70
"
2,176,77,128,50,28,"70
"
2,177,77,129,52,29,"71
"
2,178,77,130,52,26,"74
"
2,179,77,130,52,28,"73
"
2,180,77,131,55,26,"66
"
2,181,77,131,55,28,"68
"
2,182,77,132,55,28,"68
"
2,183,77,134,57,28,"68
"
2,184,77,133,58,27,"71
"
2,185,77,133,59,27,"71
"
2,186,77,134,60,25,"70
"
2,187,77,134,62,28,"73
"
2,188,77,135,64,29,"73
"
2,189,77,135,64,29,"75
"
2,190,77,134,65,30,"72
"
2,191,77,135,65,27,"69
"
2,192,77,135,67,29,"71
"
2,193,77,135,68,28,"69
"
2,194,77,135,68,29,"71
"
2,195,77,135,69,29,"74
"
2,196,77,137,72,26,"69
"
2,197,77,137,74,27,"70
"
2,198,77,137,75,28,"72
"
2,199,77,138,76,25,"73
"
2,200,77,138,77,28,"72
"
2,201,77,140,78,25,"72
"
2,202,77,141,79,25,"70
"
2,203,77,140,80,28,"67
"
2,204,77,142,80,27,"71
"
2,205,77,140,81,28,"68
"
2,206,77,139,81,33,"73
"
2,207,77,142,84,30,"73
"
2,208,77,142,84,29,"77
"
2,209,77,142,86,26,"72
"
2,209,78,72,2,30,"63
"
2,210,77,142,87,30,"71
"
2,210,78,72,2,32,"60
"
2,211,77,143,89,29,"72
"
2,211,78,73,1,32,"65
"
2,212,77,143,90,26,"72
"
2,212,78,73,3,32,"61
"
2,213,77,143,91,27,"74
"
2,213,78,75,3,32,"62
"
2,214,77,142,91,28,"73
"
2,214,78,74,4,34,"61
"
2,215,77,145,92,25,"70
"
2,215,78,75,5,32,"61
"
2,216,77,145,92,28,"68
"
2,216,78,75,7,34,"62
"
2,217,77,144,95,30,"69
"
2,217,78,76,7,34,"65
"
2,218,77,144,95,30,"70
"
2,218,78,77,9,34,"65
"
2,219,77,146,98,29,"70
"
2,219,78,76,9,32,"65
"
2,220,77,145,98,29,"73
"
2,220,78,76,10,34,"64
"
2,221,77,145,100,29,"73
"
2,221,78,78,10,31,"65
"
2,222,77,147,101,28,"72
"
2,222,78,79,11,30,"63
"
2,223,77,148,105,27,"72
"
2,223,78,79,12,32,"64
"
2,224,77,149,104,26,"71
"
2,224,78,79,12,29,"61
"
2,225,77,149,107,27,"70
"
2,225,78,81,13,28,"60
"
2,226,77,150,107,28,"69
"
2,226,78,82,13,28,"64
"
2,227,77,150,107,28,"70
"
2,227,78,83,14,28,"63
"
2,228,77,149,109,29,"67
"
2,228,78,81,16,29,"63
"
2,229,77,150,109,30,"67
"
2,229,78,84,18,26,"61
"
2,230,77,149,111,28,"68
"
2,230,78,83,17,28,"65
"
2,231,77,149,111,29,"69
"
2,231,78,86,20,26,"62
"
2,232,77,150,115,26,"66
"
2,232,78,88,19,25,"63
"
2,233,77,149,115,29,"71
"
2,233,78,89,19,23,"64
"
2,234,77,148,117,28,"72
"
2,234,78,88,20,31,"63
"
2,235,77,148,120,26,"69
"
2,235,78,89,20,30,"62
"
2,236,77,148,121,27,"70
"
2,236,78,90,20,32,"61
"
2,237,77,148,121,30,"72
"
2,237,78,89,22,34,"60
"
2,238,77,147,123,28,"67
"
2,238,78,90,22,36,"62
"
2,239,77,147,124,31,"68
"
2,239,78,92,23,31,"64
"
2,240,77,147,123,30,"70
"
2,240,78,93,25,32,"63
"
2,241,77,147,124,30,"70
"
2,241,78,94,26,34,"63
"
2,242,77,147,126,30,"67
"
2,242,78,94,26,33,"67
"
2,243,77,147,127,31,"73
"
2,243,78,96,27,32,"64
"
2,244,77,147,129,29,"70
"
2,244,78,97,29,31,"62
"
2,245,77,146,131,31,"71
"
2,245,78,97,29,33,"60
"
2,246,77,147,133,28,"72
"
2,246,78,97,30,32,"60
"
2,247,77,146,136,32,"74
"
2,247,78,99,29,29,"63
"
2,248,77,145,138,33,"72
"
2,248,78,98,30,33,"61
"
2,249,77,146,140,30,"72
"
2,249,78,100,32,30,"60
"
2,250,77,146,141,30,"70
"
2,250,78,100,32,29,"62
"
2,251,77,145,143,30,"68
"
2,251,78,102,33,28,"63
"
2,252,77,145,144,28,"68
"
2,252,78,103,32,29,"63
"
2,253,77,144,144,27,"69
"
2,253,78,102,34,30,"62
"
2,254,77,143,145,27,"69
"
2,254,78,103,36,29,"60
"
2,255,77,144,145,29,"73
"
2,255,78,106,36,29,"66
"
2,256,77,142,148,26,"70
"
2,256,78,106,37,29,"65
"
2,257,77,141,149,26,"72
"
2,257,78,108,38,28,"65
"
2,258,77,141,152,29,"75
"
2,258,78,109,39,28,"64
"
2,259,77,140,152,30,"74
"
2,259,78,108,38,32,"64
"
2,260,77,140,154,28,"74
"
2,260,78,108,39,34,"62
"
2,261,77,139,156,28,"69
"
2,261,78,110,39,35,"61
"
2,262,77,138,156,27,"71
"
2,262,78,113,40,32,"62
"
2,263,77,138,157,27,"72
"
2,263,78,114,41,35,"61
"
2,264,77,136,157,32,"73
"
2,264,78,113,42,32,"64
"
2,265,77,137,159,28,"72
"
2,265,78,115,42,34,"70
"
2,266,77,137,161,27,"74
"
2,266,78,117,44,31,"66
"
2,267,77,137,162,28,"73
"
2,267,78,119,44,31,"67
"
2,268,77,134,165,27,"73
"
2,268,78,116,46,33,"68
"
2,269,77,134,165,30,"72
"
2,269,78,119,48,32,"65
"
2,270,77,135,167,28,"69
"
2,270,78,120,48,31,"64
"
2,271,77,134,169,29,"69
"
2,271,78,120,48,31,"66
"
2,272,77,133,170,31,"67
"
2,272,78,119,50,34,"64
"
2,273,77,132,171,31,"66
"
2,273,78,121,50,32,"62
"
2,274,77,133,172,31,"65
"
2,274,78,121,50,31,"62
"
2,275,77,130,173,29,"65
"
2,275,78,122,51,30,"61
"
2,276,77,130,173,30,"64
"
2,276,78,123,52,29,"63
"
2,277,77,129,175,29,"63
"
2,277,78,120,53,30,"63
"
2,278,77,128,176,29,"62
"
2,278,78,119,54,34,"65
"
2,279,77,128,177,27,"59
"
2,279,78,122,52,29,"67
"
2,280,77,127,180,27,"57
"
2,280,78,123,55,30,"68
"
2,281,77,125,181,30,"57
"
2,281,78,124,56,27,"65
"
2,282,77,124,181,30,"57
"
2,282,78,123,57,29,"66
"
2,283,77,123,186,30,"52
"
2,283,78,125,58,28,"64
"
2,284,77,122,185,28,"53
"
2,284,78,126,58,29,"64
"
2,285,77,122,187,29,"49
"
2,285,78,126,60,34,"63
"
2,286,77,121,186,28,"52
"
2,286,78,128,58,30,"64
"
2,287,77,119,186,31,"53
"
2,287,78,127,61,32,"60
"
2,288,77,119,189,29,"49
"
2,288,78,127,60,36,"62
"
2,289,78,129,62,34,"62
"
2,290,78,129,62,35,"64
"
2,291,78,130,63,34,"65
"
2,292,78,128,65,38,"64
"
2,293,78,132,67,33,"63
"
2,294,78,130,65,38,"71
"
2,295,78,130,68,38,"65
"
2,296,78,132,69,36,"63
"
2,297,78,131,69,42,"67
"
2,298,78,133,69,34,"63
"
2,299,78,133,69,34,"67
"
2,300,78,135,73,32,"64
"
2,301,78,134,70,32,"64
"
2,302,78,136,73,30,"64
"
2,303,78,136,74,31,"66
"
2,304,78,135,74,30,"66
"
2,305,78,136,76,30,"64
"
2,306,78,137,78,29,"64
"
2,307,78,138,77,28,"69
"
2,308,78,140,79,26,"67
"
2,309,78,139,80,31,"67
"
2,310,78,139,79,32,"66
"
2,311,78,140,80,33,"67
"
2,312,78,142,81,32,"63
"
2,313,78,142,82,33,"64
"
2,314,78,143,81,32,"66
"
2,315,78,143,82,34,"65
"
2,316,78,144,82,34,"69
"
2,317,78,142,86,39,"67
"
2,318,78,145,85,32,"69
"
2,319,78,147,88,31,"68
"
2,320,78,146,89,34,"65
"
2,321,78,146,88,32,"67
"
2,322,78,148,90,30,"63
"
2,323,78,146,91,35,"65
"
2,324,78,147,90,33,"62
"
2,325,78,148,90,33,"66
"
2,326,78,148,92,34,"62
"
2,327,78,148,93,32,"64
"
2,328,78,149,92,31,"66
"
2,329,78,152,95,27,"66
"
2,330,78,150,95,29,"67
"
2,331,78,149,96,33,"68
"
2,332,78,151,97,28,"67
"
2,333,78,151,97,30,"70
"
2,334,78,151,99,30,"68
"
2,335,78,153,99,32,"70
"
2,336,78,153,100,32,"67
"
2,337,78,155,102,31,"66
"
2,338,78,153,103,36,"62
"
2,339,78,156,100,30,"68
"
2,340,78,154,101,33,"68
"
2,341,78,157,102,34,"69
"
2,342,78,156,105,36,"67
"
2,343,78,155,102,37,"70
"
2,344,78,158,104,34,"69
"
2,345,78,158,107,31,"66
"
2,346,78,158,108,36,"64
"
2,347,78,159,109,32,"65
"
2,348,78,160,110,32,"66
"
2,349,78,160,111,31,"63
"
2,350,78,161,112,31,"64
"
2,351,78,161,111,31,"66
"
2,352,78,160,111,33,"66
"
2,353,78,161,113,31,"62
"
2,354,78,160,114,33,"65
"
2,355,78,162,114,27,"65
"
2,356,78,162,115,31,"69
"
2,357,78,162,116,28,"66
"
2,358,78,163,115,29,"71
"
2,359,78,164,120,28,"68
"
2,360,78,162,120,32,"69
"
2,361,78,165,119,30,"70
"
2,362,78,165,119,30,"70
"
2,363,78,166,119,29,"72
"
2,364,78,164,121,33,"69
"
2,365,78,165,123,33,"68
"
2,366,78,166,123,33,"69
"
2,367,78,168,122,30,"69
"
2,368,78,166,124,32,"68
"
2,369,78,167,126,34,"69
"
2,370,78,169,125,32,"71
"
2,371,78,167,126,34,"75
"
2,372,78,169,130,33,"71
"
2,373,78,168,131,33,"71
"
2,374,78,168,132,33,"69
"
2,375,78,169,135,33,"66
"
2,376,78,171,135,31,"70
"
2,377,78,171,137,36,"66
"
2,378,78,173,137,30,"66
"
2,379,78,174,138,28,"67
"
2,380,78,172,138,32,"67
"
2,381,78,173,140,29,"67
"
2,382,78,174,140,26,"68
"
2,383,78,174,142,30,"69
"
2,384,78,174,144,29,"68
"
2,385,78,175,144,28,"69
"
2,386,78,176,146,30,"70
"
2,387,78,175,147,31,"70
"
2,388,78,176,148,30,"66
"
2,389,78,177,150,31,"64
"
2,390,78,179,149,30,"65
"
2,391,78,177,149,35,"65
"
2,392,78,180,149,34,"66
"
2,393,78,180,152,33,"65
"
2,394,78,179,151,36,"69
"
2,395,78,182,153,32,"68
"
2,396,78,180,154,34,"72
"
2,397,78,180,155,32,"71
"
2,398,78,181,156,34,"73
"
2,399,78,182,158,34,"70
"
2,400,78,181,157,34,"68
"
